Start,End,Duration,Subject,Task
2020-09-16 08:45:40.093203,2020-09-16 09:40:05.506096,0 days 00:54:25.412893000,CIS520,HW1
2020-09-23 08:50:03.459449,2020-09-23 08:50:14.257500,0 days 00:00:10.798051000,Econ Fed,Script
2020-09-23 08:50:27.440125,2020-09-23 11:40:55.971720,0 days 02:50:28.531595000,Econ Fed,Script
2020-09-24 09:07:00.000000,2020-09-24 11:45:00.000000,0 days 02:38:00.000000000,Econ Fed,Script
2020-09-24 11:45:00.000000,2020-09-24 12:30:00.000000,0 days 00:45:00.000000000,ECON246,HW3
2020-09-24 12:30:00.000000,2020-09-24 13:50:00.000000,0 days 01:20:00.000000000,Econ Fed,Meeting
2020-09-24 14:00:00.000000,2020-09-24 14:50:00.000000,0 days 00:50:00.000000000,ECON246,HW3
2020-09-25 08:00:00.000000,2020-09-25 12:00:00.000000,0 days 04:00:00.000000000,Coding Prep,Leetcode w Zhiming
2020-09-25 13:50:00.000000,2020-09-25 15:12:00.000000,0 days 01:22:00.000000000,Probability,Self-Practice Reviews
2020-09-25 15:40:00.000000,2020-09-25 17:00:00.000000,0 days 01:20:00.000000000,Probability,Self-Practice Reviews
2020-09-25 17:35:04.079345,2020-09-25 20:03:05.486243,0 days 02:28:01.406898000,Probability,Self-Practice Reviews
2020-09-25 20:23:56.115484,2020-09-25 22:32:46.157590,0 days 02:08:50.042106000,Probability,Self-Practice Reviews
2020-09-26 08:30:00.000000,2020-09-26 08:55:00.000000,0 days 00:25:00.000000000,Probability,Prep for DRW Test
2020-09-26 09:30:00.000000,2020-09-26 10:45:00.000000,0 days 01:15:00.000000000,Probability,Prep for DRW Test
2020-09-26 11:15:00.000000,2020-09-26 11:50:00.000000,0 days 00:35:00.000000000,Probability,Prep for DRW Test
2020-09-26 12:00:00.000000,2020-09-26 12:45:00.000000,0 days 00:45:00.000000000,Recruiting,DRW Test
2020-09-26 12:50:00.000000,2020-09-26 13:35:00.000000,0 days 00:45:00.000000000,Probability,DRW Test Recap
2020-09-26 14:10:00.000000,2020-09-26 17:00:00.000000,0 days 02:50:00.000000000,CIS520,HW2
2020-09-26 17:15:00.000000,2020-09-26 18:15:00.000000,0 days 01:00:00.000000000,CIS520,HW2
2020-09-27 10:00:00.000000,2020-09-27 10:30:00.000000,0 days 00:30:00.000000000,CIS520,HW2
2020-09-27 12:00:00.000000,2020-09-27 13:30:00.000000,0 days 01:30:00.000000000,Econ Fed,Meeting
2020-09-27 14:10:00.000000,2020-09-27 15:40:00.000000,0 days 01:30:00.000000000,CIS520,HW2
2020-09-27 15:55:00.000000,2020-09-27 18:05:00.000000,0 days 02:10:00.000000000,Coding Prep,Binary Tree Leetcode
2020-09-27 18:20:00.000000,2020-09-27 19:20:00.000000,0 days 01:00:00.000000000,Brainteasers Prep,Brainteasers
2020-09-27 19:40:00.000000,2020-09-27 21:10:00.000000,0 days 01:30:00.000000000,Econ Fed,MSLP Research
2020-09-28 09:15:00.000000,2020-09-28 10:45:00.000000,0 days 01:30:00.000000000,Econ Fed,Discussion
2020-09-28 09:30:00.000000,2020-09-28 10:30:00.000000,0 days 01:00:00.000000000,CIS520,Watch Friday Recitation
2020-09-28 12:15:00.000000,2020-09-28 13:30:00.000000,0 days 01:15:00.000000000,Coding Prep,Heaps
2020-09-28 15:00:00.000000,2020-09-28 16:00:00.000000,0 days 01:00:00.000000000,Recruiting,Behavioral Prep
2020-09-28 16:30:00.000000,2020-09-28 17:20:00.000000,0 days 00:50:00.000000000,Coding Prep,Linked List Prep
